sku,status,category,series,name,bagType,primaryColor,material,dimensionsCm,sizeClass,moq,keywords
HJ-BW110017,needs_photo,women,Z,Women's Bag HJ-BW110017,,,,,,,bag; ladies bag; women bag; womens bag
HJ-BW110018,needs_photo,women,Z,Women's Bag HJ-BW110018,,,,,,,bag; ladies bag; women bag; womens bag
HJ-BW110019,needs_photo,women,Z,Women's Bag HJ-BW110019,,,,,,,bag; ladies bag; women bag; womens bag
HJ-BW110020,needs_photo,women,Z,Women's Bag HJ-BW110020,,,,,,,bag; ladies bag; women bag; womens bag
HJ-BW110021,needs_photo,women,Z,Women's Bag HJ-BW110021,,,,,,,bag; ladies bag; women bag; womens bag
HJ-BW110022,needs_photo,women,Z,Women's Bag HJ-BW110022,,,,,,,bag; ladies bag; women bag; womens bag
HJ-BK200001,labeled,kids,P,Mini Fox Face Crossbody Bag in Pink PU,crossbody bag,pink,PU leather (vegan leather),15*5*12.5,mini,1000,animal bag; animal-shaped; bag; birthday gift; cartoon; cartoon bag; childrens bag; crossbody bag; cute; cute bag; everyday; faux leather; fox; fox bag; girls bag; gold; kawaii; kawaii bag; kids bag; little girl purse; mini crossbody; mini crossbody bag; novelty; novelty bag; party; pink; pink bag; playdate; playful; pu leather; pu leather bag; school; shoulder bag; sling bag; vegan leather; white
HJ-BK200002,labeled,kids,P,Mini Rainbow Crochet Pom-Pom Crossbody Bag in Pink,crossbody bag,pink,PU leather (vegan leather),18*6*15CM,small,1000,bag; beaded strap bag; birthday gift; blue; boho; boho bag; childrens bag; colorblock; colorful; colorful bag; crochet; crochet bag; crossbody bag; cute; cute bag; everyday; faux leather; girls bag; green; kids bag; mini crossbody; multicolor; orange; party; pink; pink bag; playful; pom pom bag; pom-pom; pu leather; purple; rainbow bag; red; school; shoulder bag; sling bag; small crossbody bag; tassel; tassel bag; vacation; vegan leather; yellow
HJ-BK200003,labeled,kids,P,Kids' Quilted Velvet Cat Ear Backpack with Pom-Pom,backpack,black,100% polyester,24*10*32,medium,1000,backpack; bag; black; black backpack; casual; cat ear backpack; cat-ear; children backpack; childrens bag; cute; cute backpack; everyday; girls backpack; kawaii backpack; kids backpack; kids bag; medium backpack; mini backpack; pink; playdate; polyester; polyester backpack; pom pom bag; pom-pom; quilted; quilted backpack; school; school bag; solid; toddler backpack; travel; velvet; velvet backpack
HJ-BK200004,labeled,kids,P,Mini Glitter Chain Crossbody Bag with Tassel,crossbody bag,pink,PU leather (vegan leather),16*3*11,mini,1000,bag; birthday; black; chain bag; chain-strap; childrens bag; crossbody bag; cute; elegant; evening; everyday; faux leather; flap bag; girls purse; glitter; glitter bag; gold; kids bag; kids crossbody; mini bag; mini crossbody bag; party; party bag; pink; pink purse; pu leather; pu leather bag; purple; shoulder bag; silver; sling bag; sparkle handbag; special occasion; tassel; tassel bag; vegan leather
HJ-BK200005,labeled,kids,P,Kids' Corduroy 'Girl Gang' Patch Belt Bag,belt bag,pink,100% polyester,29*11,medium,1000,bag; belt bag; blue; bum bag; casual; chenille; children bag; childrens bag; corduroy; corduroy bag; cute; cute waist bag; everyday; fanny pack; girl gang; girls fanny pack; gold; hip bag; kids bag; kids belt bag; medium belt bag; outdoor; patch bag; patches; pink; pink bag; playdate; polyester; polyester bag; school; solid; sporty; travel; waist bag
HJ-BK200006,labeled,kids,P,Mini Glitter Cat Face Phone Crossbody Bag,mini bag,pink,PU leather (vegan leather),9.4*2.8*9.3,mini,1000,bag; casual; cat bag; cat-face; cell phone purse; childrens bag; crossbody bag; cute; cute crossbody; everyday; faux leather; girls phone bag; glitter; glitter bag; kawaii; kawaii bag; kids bag; kids crossbody; mini bag; mini mini bag; novelty; party; phone bag; phone pouch; pink; pink purse; playdate; pu leather; pu leather bag; rose red; school; sling bag; travel; vegan leather; white
HJ-BK200007,labeled,kids,P,Sequin Mini Crossbody Bag,crossbody bag,silver,100% polyester,16*13,mini,1000,bag; birthday; black; chain strap; chain-strap; childrens bag; crossbody bag; cute; evening; everyday; girls bag; glitter; kids bag; kids purse; mermaid sequin; mini bag; mini crossbody bag; navy; party; polyester; sequin; sequin bag; shoulder bag; silver; sling bag; small purse; sparkly
HJ-BK200008,labeled,kids,P,Furry Monster Face Coin Purse,coin purse,gray,100% polyester,15*15,mini,1000,bag; black; cartoon; childrens bag; coin purse; cute; cute purse; everyday; fluffy; furry pouch; gift; gray; keychain purse; kids bag; kids coin purse; mini coin purse; monster; monster bag; novelty; novelty bag; party; pink; plush; plush purse; polyester; pom pom purse; school; white
HJ-BK200009,labeled,kids,P,Star Print Girls Backpack,backpack,navy,100% polyester,27*12*39,large,1000,back-to-school; backpack; bag; book bag; casual; childrens bag; cute; cute backpack; daypack; everyday; girl gang; girls backpack; graphic; kids backpack; kids bag; large backpack; navy; pink; polyester; rucksack; school; school bag; sporty; star; star print; star-print; travel; white
HJ-BK200010,labeled,kids,P,Basketball Pocket Kids Backpack,backpack,navy,polyester with PU trim,22*7*33,medium,1000,backpack; bag; basketball; basketball bag; black; book bag; boys backpack; casual; childrens bag; colorblock; daypack; everyday; faux leather; kids backpack; kids bag; medium backpack; navy; novelty; orange; polyester; pu leather; rucksack; school; school bag; sports; sports backpack; sporty; travel; vegan leather
HJ-BK200011,labeled,kids,P,Quilted Mini Crossbody Bag with Pom-Pom,crossbody bag,pink,PU leather (vegan leather),20*6*18,small,1000,bag; blush; chain-strap; childrens bag; cream; crossbody bag; cute; cute bag; elegant; everyday; everyday bag; faux leather; flap bag; girls bag; green; hot pink; kids bag; kids purse; light pink; mini bag; outing; party; party bag; pink; pink bag; pom pom bag; pom-pom; pu leather; quilted; quilted bag; school; shoulder bag; sling bag; small crossbody bag; vegan leather
HJ-BK200012,labeled,kids,P,Glitter Cat Face Mini Shoulder Bag,shoulder bag,pink,PU leather (vegan leather),19*4.5*12.5,small,1000,animal bag; animal-print; bag; baguette bag; cartoon; cat bag; childrens bag; cute; cute bag; everyday; everyday bag; faux leather; girls bag; glitter; glitter bag; iridescent pink; kids bag; kids purse; mini bag; novelty; novelty bag; party; party bag; pink; pink bag; playdate; pu leather; rose gold; school; shimmer; shoulder bag; small shoulder bag; vegan leather
HJ-BK200013,labeled,kids,P,Round Bear Face Mini Crossbody Bag with Pom-Pom Ears,crossbody bag,silver,PU leather (vegan leather),15*6*15,mini,1000,animal bag; animal-print; bag; bear bag; cartoon; childrens bag; crossbody bag; cute; cute bag; everyday; faux leather; girls bag; gray; kids bag; kids purse; metallic; mini bag; mini crossbody bag; novelty; novelty bag; party; pink; playdate; pom pom bag; pom-pom; pu leather; round bag; school; shoulder bag; silver; silver bag; sling bag; vegan leather
HJ-BK200014,labeled,kids,P,Glitter Star Mini Crossbody Saddle Bag,crossbody bag,green,PU leather (vegan leather),15*5*13,mini,1000,bag; childrens bag; crossbody bag; cute; cute bag; everyday; faux leather; girls bag; glitter; glitter bag; green; green bag; kids bag; kids purse; mini bag; mini crossbody bag; multicolor; novelty; outing; party; party bag; pu leather; rose gold; saddle bag; school; shoulder bag; silver; sling bag; sparkly; sparkly bag; star; star bag; vegan leather
HJ-BK200015,labeled,kids,P,Girls' Fluffy Cat Mini Crossbody Bag,crossbody bag,pink,100% polyester,13*13,mini,1000,animal bag; animal-print; bag; casual; cat bag; children handbag; childrens bag; crossbody bag; cute; cute mini bag; everyday; faux fur bag; fluffy; fluffy crossbody bag; girls sling bag; kawaii; kawaii purse; kids bag; kids purse; kitty bag; mini crossbody bag; novelty; novelty bag; party; pink; pink cat purse; playdate; plush; plush bag; polyester; school; shoulder bag; silver
HJ-BK200016,labeled,kids,P,Girls' Metallic Glitter Mini Flap Shoulder Bag,shoulder bag,silver,PU leather (vegan leather),15*6*12,mini,1000,bag; childrens bag; crossbody bag; cute; cute mini bag; elegant; everyday; faux leather; flap purse; girls purse; glitter; glitter bag; glittery; kids bag; kids handbag; metallic; metallic bag; mini flap bag; mini shoulder bag; party; party bag; pu leather; rose gold; rose gold bag; school; shimmer; shimmer bag; shoulder bag; silver; silver bag; sparkle purse; special occasion; vegan leather
HJ-BK200017,labeled,kids,P,Girls' Navy Glitter Bow Mini Crossbody Bag,crossbody bag,navy,PU leather (vegan leather),16*11,mini,1000,bag; blue; blue glitter purse; bow bag; chain-strap; childrens bag; crossbody bag; cute; cute crossbody; elegant; evening; everyday; faux leather; flap bag; girls purse; glitter; glitter bag; glittery; kids bag; kids handbag; mini bag; mini crossbody bag; navy; navy purse; party; party bag; pu leather; shoulder bag; silver; sling bag; sparkle; sparkle bag; special occasion; vegan leather
HJ-BK200018,labeled,kids,P,Girls' Rose Gold Bunny Mini Coin Purse with Pom-Pom,coin purse,rose gold,PU leather (vegan leather),16*4*11,mini,1000,animal purse; animal-print; bag; bunny purse; casual; children coin purse; childrens bag; coin purse; cute; cute pouch; everyday; faux leather; girls purse; glitter; kawaii; kawaii purse; kids bag; kids wallet; metallic; mini coin purse; mini purse; novelty; novelty purse; party; pink; playdate; pom pom bag; pu leather; rabbit bag; rose gold; rose gold purse; school; vegan leather; zip pouch
HJ-BK200019,labeled,kids,P,Mini Flap Crossbody Bag (PU Leather),crossbody bag,pink,PU leather (vegan leather),20*2*15,small,1000,bag; childrens bag; clasp bag; crossbody bag; cute; cute purse; elegant; everyday; everyday bag; faux leather; flap; flap bag; girls bag; kids bag; kids crossbody; mini bag; minimalist; mint green; mint green bag; outing; party; pastel; pastel bag; pink; pink purse; pu leather; school; shoulder bag; sling bag; small crossbody bag; solid; vegan leather
HJ-BK200020,labeled,kids,P,Mini Airplane Travel Shoulder Bag (Pink PU),shoulder bag,pink,PU leather (vegan leather),18*4.5*13.5,small,1000,airplane bag; bag; camera bag; cartoon; cartoon bag; casual; childrens bag; cute; cute purse; embroidered; everyday; everyday bag; faux leather; girls purse; kids bag; mini bag; novelty; novelty bag; pink; pink bag; playful; pu leather; red; school; shoulder bag; small shoulder bag; teal; top handle bag; travel; travel bag; vacation; vegan leather; white
HJ-BK200021,labeled,kids,P,Large Skull Graphic Drawstring Backpack (Grey),drawstring bag,grey,100% polyester,28*13*42,large,1000,backpack; bag; black; blue; boys bag; cartoon; cartoon backpack; casual; childrens bag; cinch bag; drawstring bag; edgy; everyday; graphic bag; graphic-print; grey; grey bag; gym sack; kids backpack; kids bag; large backpack; large drawstring bag; playful; polyester; polyester bag; red; school; school bag; skull bag; sports; sports bag; sporty; travel; white; yellow
HJ-BK200022,labeled,kids,P,Mini Floral Crossbody Camera Bag (Pink),crossbody bag,pink,100% polyester,18*4*13,small,1000,bag; blue; boxy; camera bag; chain bag; chain-strap; childrens bag; crossbody bag; cute; cute purse; elegant; everyday; everyday bag; feminine; floral; floral bag; flower print bag; girls bag; green; kids bag; kids crossbody; mini bag; outing; party; pink; pink purse; polyester; polyester bag; purple; shoulder bag; sling bag; small crossbody bag; spring; white
HJ-BK200023,labeled,kids,P,Floral Print Chain Crossbody Camera Bag,crossbody bag,pink,PU leather (vegan leather),18*4.5*12.5,small,1000,bag; blue; camera bag; chain bag; chain-strap; childrens bag; crossbody bag; cute; cute bag; elegant; everyday; faux leather; floral; floral bag; flower print bag; gift; girls bag; gold; green; kids bag; mini crossbody; outing; party; pink; pink bag; pu leather; school; shoulder bag; sling bag; small crossbody bag; sweet; sweet bag; vegan leather; vintage; vintage floral bag
HJ-BK200024,labeled,kids,P,Floral Embroidered Mini Crossbody Bag,crossbody bag,light blue,PU leather (vegan leather),18*4.5*12.5,small,1000,bag; boxy; chain strap purse; chain-strap; childrens bag; crossbody bag; cute; cute mini bag; denim blue; embroidered; everyday; faux leather; floral; floral embroidered bag; flower bag; girls crossbody bag; girls purse; girly; gold; green; kids bag; kids purse; light blue; light blue bag; mini crossbody bag; outing; party; party bag; pink; pu leather; pu leather bag; purple; school; shoulder bag; sling bag; small crossbody bag; small handbag; vegan leather
HJ-BK200025,labeled,kids,P,Floral Print Kids Backpack,backpack,mint green,PU leather (vegan leather),25*11*36,large,1000,backpack; bag; book bag; casual; children backpack; childrens bag; cute; cute backpack; daypack; everyday; faux leather; floral; floral backpack; flower print backpack; girls backpack; girls school bag; girly; green; kids backpack; kids bag; large backpack; light blue; mint green; mint green backpack; outing; pink; printed; pu leather; pu leather backpack; rucksack; school; school bag; travel; travel backpack; vegan leather; white
HJ-BK200026,labeled,kids,P,Graffiti Print Kids Backpack,backpack,blue,100% polyester,25*10*35,large,1000,backpack; bag; black; blue; blue backpack; book bag; boys backpack; boys school bag; brown; cartoon; casual; children backpack; childrens bag; colorblock; cool; cool backpack; daypack; everyday; graffiti; graffiti backpack; gray; kids backpack; kids bag; large backpack; polyester; polyester backpack; rucksack; school; school bag; sports; street; street style backpack; travel; travel backpack; white
HJ-BK200027,labeled,kids,P,Striped Fruit Embroidered Mini Cosmetic Pouch,cosmetic pouch,blue,100% cotton,14.5*6*12,mini,1000,bag; beach; blue; blue and white pouch; casual; childrens bag; cosmetic pouch; cotton; cotton pouch; cute; cute pouch; embroidered; everyday; fruit embroidered bag; girls pouch; green; kids bag; kids pouch; makeup bag; mini cosmetic pouch; nautical; pencil case; plaid; red; school; small bag; striped; striped pouch; toiletry bag; travel; travel pouch; white; yellow; zip pouch
HJ-BK200028,labeled,kids,P,Mini Sequin Dome Crossbody Bag,crossbody bag,silver,PU leather (vegan leather),20*5*12,small,1000,bag; birthday; black; chain-strap; childrens bag; crossbody bag; cute; cute bag; dress-up; everyday; faux leather; girls purse; glitter; glittery; gray; kids bag; kids handbag; mermaid sequin; mini bag; party; party bag; performance; pu leather; sequin bag; sequined; shoulder bag; silver; sling bag; small crossbody bag; sparkly; sparkly bag; top handle bag; vegan leather
HJ-BK200029,labeled,kids,P,Kids Pineapple Aloha Drawstring Backpack,drawstring bag,pink,100% polyester,24*10*32,medium,1000,aloha; bag; cartoon; casual; childrens bag; cinch bag; colorful; cute; cute backpack; drawstring backpack; drawstring bag; everyday; girls backpack; green; gym; gym sack; kids backpack; kids bag; medium drawstring bag; pineapple; pink; pink bag; polyester; sackpack; school; school bag; sequin bag; sequined; sports; sports bag; sporty; teal; travel; yellow
HJ-BK200030,labeled,kids,P,Mini Bow Flap Crossbody Bag,crossbody bag,gray,PU leather (vegan leather),16*5*15,mini,1000,bag; bow bag; bow-accent; childrens bag; crossbody bag; cute; cute bag; dress-up; elegant; everyday; faux leather; flap bag; girls purse; gray; gray bag; kids bag; kids handbag; mini bag; mini crossbody bag; minimalist; outing; party; pink; pink bow; pu bag; pu leather; rope strap bag; shoulder bag; sling bag; small purse; solid; sweet; vegan leather
HJ-BK200031,labeled,kids,P,Kids Football 2018 Drawstring Backpack,drawstring bag,navy,100% polyester,34*44,large,1000,bag; boys backpack; casual; childrens bag; cinch bag; drawstring backpack; drawstring bag; drawstring sack; everyday; football bag; graphic-print; gym; gym sack; kids backpack; kids bag; large drawstring bag; navy; navy blue; polyester; red; sackpack; school; school bag; soccer bag; solid; sports; sports bag; sporty; team bag; team-spirit; travel; white
HJ-BK200032,labeled,kids,P,Kids Floral Mini Crossbody Bag with Buckle Flap,crossbody bag,red,PU leather (vegan leather),14*5*11,mini,1000,bag; blue; buckle flap bag; buckle-detail; casual; childrens bag; colorful; colorful bag; crossbody bag; cute; cute kids purse; everyday; everyday bag; faux leather; flap; floral; floral bag; girls sling bag; green; kids bag; kids crossbody bag; little girl handbag; mini crossbody; mini crossbody bag; outing; party; pink; pu leather; pu leather bag; red; red flower purse; school; school bag; shoulder bag; silver; vegan leather; white
HJ-BK200033,labeled,kids,P,Kids Mermaid Sequin Belt Bag with Pom-Pom,belt bag,purple,PU leather (vegan leather),30*6*12,medium,1000,bag; belt bag; black; blue; bum bag; childrens bag; cute; cute kids bag; everyday; faux leather; festival; festival bag; girls waist bag; glitter; hip bag; kids bag; kids belt bag; medium belt bag; mermaid sequin bag; party; party bag; pink; playful; pom pom bag; pom-pom; pu leather; purple; purple bag; reversible sequin; reversible-sequin; school; sequin; sequin fanny pack; sparkly; sparkly fanny pack; travel; vegan leather
HJ-BK200034,labeled,kids,P,Kids Large Sporty Drawstring Backpack,backpack,black,100% polyester,26*19*42,large,1000,backpack; bag; black; black backpack; blue; boys backpack; casual; casual daypack; childrens bag; colorblock; drawstring; drawstring backpack; everyday; graphic backpack; graphic-print; gray; gym; gym bag; kids backpack; kids bag; large backpack; polyester; polyester backpack; school; school bag; sports; sports backpack; sporty; streetwear; streetwear bag; travel; travel backpack; white
HJ-BK200035,labeled,kids,P,Kids Studded Mini Saddle Crossbody Bag with Chain Strap,crossbody bag,beige,PU leather (vegan leather),15*7*13,mini,1000,bag; beige; beige handbag; chain strap bag; chain-strap; chic; childrens bag; crossbody bag; elegant; elegant kids bag; everyday; faux leather; girls purse; gold; kids bag; kids crossbody bag; little girl handbag; mini crossbody bag; mini saddle bag; minimalist; outing; party; party bag; pu leather; pu leather bag; saddle; shoulder bag; sling bag; solid; special occasion; studded; studded bag; taupe; top handle bag; twist lock purse; vegan leather
HJ-BK200036,labeled,kids,P,Kids' Black Cat Slim Pencil Pouch,cosmetic pouch,black,PU leather (vegan leather),20*3*6,small,1000,animal; bag; black; black cat; cartoon; cartoon cat; casual; cat pencil bag; childrens bag; cosmetic pouch; cute; cute pouch; everyday; faux leather; girls pouch; kawaii; kids bag; kids stationery bag; makeup bag; novelty; pencil case; pencil pouch; pu leather; pu leather pouch; school; school supplies; small cosmetic pouch; stationery storage; travel; vegan leather; white; zipper pouch
HJ-BK200037,labeled,kids,P,Kids' Navy Tiger Print School Backpack,backpack,navy blue,100% polyester,26*13*38,large,1000,animal-print; backpack; bag; black; book bag; boys backpack; casual; children backpack; childrens bag; cool; cool backpack; everyday; flap backpack; gold; graphic; graphic backpack; kids backpack; kids bag; large backpack; navy blue; navy blue backpack; polyester; polyester backpack; rucksack; school; school backpack; school bag; sports; sporty; student bag; tiger backpack; travel; white
HJ-BK200038,labeled,kids,P,Kids' Black Skeleton Skater School Backpack,backpack,black,100% polyester,26*13*37,large,1000,backpack; bag; black; black backpack; book bag; boys backpack; cartoon; childrens bag; cool; cool backpack; edgy; everyday; graphic; graphic backpack; gray; halloween backpack; kids backpack; kids bag; large backpack; polyester; polyester backpack; rucksack; school; school backpack; school bag; skateboarding; skater; skater backpack; skeleton backpack; sporty; student bag; travel; white; yellow
HJ-BK200039,labeled,kids,P,Girls' Rose Gold Metallic Cat Mini Backpack,backpack,rose gold,PU leather (vegan leather),27*12*36,large,1000,backpack; bag; black; cat backpack; childrens bag; cute; cute backpack; everyday; fashion backpack; faux leather; girls backpack; glam; kawaii; kawaii backpack; kids backpack; kids bag; kitty backpack; large backpack; metallic; metallic backpack; mini backpack; party; pu leather; pu leather backpack; quilted; quilted backpack; rose gold; rose gold backpack; school; school bag; small backpack; solid; travel; trendy; vegan leather
HJ-BK200040,labeled,kids,P,Kids' Sticker-Patch School Backpack (Navy & Pink),backpack,pink,100% polyester,26*13*38,large,1000,back to school; backpack; bag; bookbag; boys backpack; cartoon; cartoon backpack; casual; children backpack; childrens bag; colorful; cute; cute backpack; everyday; flap backpack; girls backpack; gray; kids backpack; kids bag; large backpack; multicolor; navy backpack; navy blue; patch-print; pink; pink backpack; polyester; polyester backpack; school; school backpack; sticker patch backpack; student bag; travel
HJ-BK200041,labeled,kids,P,Quilted Velvet Bear-Ear Mini Backpack (Navy),backpack,navy blue,100% polyester,24*10*32,medium,1000,backpack; bag; bear ears backpack; casual; chic; children backpack; childrens bag; cute; cute backpack; everyday; everyday backpack; fashion backpack; girls backpack; kawaii; kawaii bag; kids backpack; kids bag; medium backpack; mini backpack; navy backpack; navy blue; party; polyester; pom pom backpack; quilted; quilted backpack; school; school backpack; small backpack; solid; velvet; velvet backpack
HJ-BK200042,needs_photo,kids,P,Kids's Bag HJ-BK200042,,,PU leather (vegan leather),,,1000,bag; childrens bag; faux leather; kids bag; pu leather; vegan leather
HJ-BK200043,needs_photo,kids,P,Kids's Bag HJ-BK200043,,,PU leather (vegan leather),,,1000,bag; childrens bag; faux leather; kids bag; pu leather; vegan leather
HJ-BK220001,placeholder,kids,Z,,,,PU leather (vegan leather),15*5*12.5,mini,1000,
HJ-BK220002,placeholder,kids,Z,,,,,15*5*12.6,mini,1001,
HJ-BK220003,placeholder,kids,Z,,,,,15*5*12.7,mini,1002,
HJ-BK220004,placeholder,kids,Z,,,,,15*5*12.8,mini,1003,
HJ-BK220005,placeholder,kids,Z,,,,,15*5*12.9,mini,1004,
HJ-BK220006,placeholder,kids,Z,,,,,15*5*12.10,mini,1005,
HJ-BK220007,placeholder,kids,Z,,,,,15*5*12.11,mini,1006,
HJ-BK220008,placeholder,kids,Z,,,,,15*5*12.12,mini,1007,
HJ-BK220009,placeholder,kids,Z,,,,,15*5*12.13,mini,1008,
HJ-BK220010,placeholder,kids,Z,,,,,15*5*12.14,mini,1009,
HJ-BK220011,placeholder,kids,Z,,,,,15*5*12.15,mini,1010,
HJ-BK220012,placeholder,kids,Z,,,,,15*5*12.16,mini,1011,
HJ-BK220013,placeholder,kids,Z,,,,,15*5*12.17,mini,1012,
HJ-BK220014,placeholder,kids,Z,,,,,15*5*12.18,mini,1013,
HJ-BK220015,placeholder,kids,Z,,,,,15*5*12.19,mini,1014,
HJ-BK220016,placeholder,kids,Z,,,,,15*5*12.20,mini,1015,
HJ-BM300001,placeholder,men,P,,,,PU leather (vegan leather),15*5*12.5,mini,1000,
HJ-BM300002,placeholder,men,P,,,,,15*5*12.6,mini,1001,
HJ-BM300003,placeholder,men,P,,,,,15*5*12.7,mini,1002,
HJ-BM300004,placeholder,men,P,,,,,15*5*12.8,mini,1003,
HJ-BM300005,placeholder,men,P,,,,,15*5*12.9,mini,1004,
HJ-BM300006,placeholder,men,P,,,,,15*5*12.10,mini,1005,
HJ-BM300007,placeholder,men,P,,,,,15*5*12.11,mini,1006,
HJ-BM300008,placeholder,men,P,,,,,15*5*12.12,mini,1007,
HJ-BM300009,placeholder,men,P,,,,,15*5*12.13,mini,1008,
HJ-BM300010,placeholder,men,P,,,,,15*5*12.14,mini,1009,
HJ-BM300011,placeholder,men,P,,,,,15*5*12.15,mini,1010,
HJ-BM300012,placeholder,men,P,,,,,15*5*12.16,mini,1011,
HJ-BM300013,placeholder,men,P,,,,,15*5*12.17,mini,1012,
HJ-BM300014,placeholder,men,P,,,,,15*5*12.18,mini,1013,
HJ-BM300015,placeholder,men,P,,,,,15*5*12.19,mini,1014,
HJ-BM330001,placeholder,men,Z,,,,PU leather (vegan leather),15*5*12.5,mini,1000,
HJ-BM330002,placeholder,men,Z,,,,,15*5*12.6,mini,1001,
HJ-BM330003,placeholder,men,Z,,,,,15*5*12.7,mini,1002,
HJ-BM330004,placeholder,men,Z,,,,,15*5*12.8,mini,1003,
HJ-BM330005,placeholder,men,Z,,,,,15*5*12.9,mini,1004,
HJ-BM330006,placeholder,men,Z,,,,,15*5*12.10,mini,1005,
HJ-BM330007,placeholder,men,Z,,,,,15*5*12.11,mini,1006,
HJ-BM330008,placeholder,men,Z,,,,,15*5*12.12,mini,1007,
HJ-BM330009,placeholder,men,Z,,,,,15*5*12.13,mini,1008,
HJ-BM330010,placeholder,men,Z,,,,,15*5*12.14,mini,1009,
HJ-BM330011,placeholder,men,Z,,,,,15*5*12.15,mini,1010,
HJ-BM330012,placeholder,men,Z,,,,,15*5*12.16,mini,1011,
HJ-BM330013,placeholder,men,Z,,,,,15*5*12.17,mini,1012,
HJ-BM330014,placeholder,men,Z,,,,,15*5*12.18,mini,1013,
HJ-BM330015,placeholder,men,Z,,,,,15*5*12.19,mini,1014,
